Date	Serial	Power	Repetition rate	Wavelength	PER	Threshold
2020-03-24 18:12:13.317	K0014227	3.51	78.15947814	1065.83	24.26	71.9
2020-03-24 19:59:15.237	K0014224	3.29	78.1137372	1065.92	23.98	67.4
2020-03-24 22:12:59.077	K0014239	3.28	77.99680095	1065.85	25.21	72.6
2020-03-26 19:22:48.550	K0014238	3.35	78.10754522	1065.67	29.55	84
2020-03-26 20:41:52.093	K0014240	3.43	78.37794972	1065.72	27.24	79.4
2020-03-26 22:16:27.123	K0014236	3.25	78.05752729	1065.95	30.73	76.2
2020-03-27 08:35:22.500	K0014235	3.51	78.04554938	1065.89	28.01	76.7
2020-03-27 08:58:42.917	K0014237	3.69	78.18309108	1065.71	26.28	81.4
2020-03-27 09:30:05.137	K0014225	1.8036	78.17656491	1065.8	27.22	74.5
2020-03-27 16:26:18.093	K0015783	3.44	78.00448385	1065.65	35.46	72.2
2020-03-27 17:48:05.847	K0015782	3.69	78.15223288	1065.64	23.55	73.6
2020-03-27 19:30:28.090	K0015781	3.2	77.97810218	1065.85	30.19	76.7
2020-03-30 07:29:41.950	K0015690	3.28	77.96399562	1065.77	25.48	68.6
2020-03-30 08:34:43.853	K0015784	3.48	78.19106379	1065.74	23.53	71.2
2020-03-30 09:35:09.573	K0015688	3.18	78.11537377	1065.86	27.78	75.6
2020-03-30 13:30:50.233	K0015687	3.57	78.13293808	1065.82	23.01	76.7
2020-03-30 14:10:44.287	K0015689	2.95	78.26154369	1065.66	26.46	67.2
2020-03-31 07:17:29.500	K0015683	3.53	78.04721825	1065.65	24.47	76.7
2020-03-31 08:31:12.797	K0015686	3.8	78.03533793	1065.8	23.85	73.2
2020-05-01 12:42:33.470	K0016242	0.01396	78.14723448	1065.65	27.65	77.8
2020-05-04 16:01:30.853	K0016239	3.49	78.22084205	1065.66	30.16	68.8
2020-05-04 19:27:41.327	K0016243	3.47	78.23070736	1065.66	25.97	78.2
2020-05-06 15:33:40.010	K0016241	3.28	77.99935998	1065.68	26.06	78.4
2020-05-06 16:43:40.850	K0016244	3.48	78.20577893	1065.69	23.61	77.5
2020-05-06 17:52:04.143	K0016245	3.42	78.41758595	1062.02	24.73	72.6
2020-05-06 19:27:05.687	K0016248	3.6	78.07957132	1065.74	24.36	74.5
2020-05-06 21:09:42.143	K0016247	3.482	77.97217785	1065.7	20.91	72.4
2020-05-12 07:46:00.600	K0016246	3.33	78.09556499	1065.68	18.09	69.6
2020-05-12 09:07:09.800	K0016253	3.46	78.04999639	1065.86	21.91	91.6
2020-05-12 09:41:57.740	K0016251	3.19	78.1544588	1065.69	27.5	68.7
2020-05-12 10:57:49.263	K0016250	3.59	78.2064032	1065.71	23.11	67
2020-05-12 12:34:00.533	K0016252	3.54	78.13330056	1065.71	25.77	82.6
2020-05-12 13:09:54.907	K0016240	3.34	78.07072946	1065.72	20.3	78.9
2020-05-13 06:58:09.463	K0016249	3.21	77.86540515	1065.7	22.27	85.6
2020-05-13 07:33:18.740	K0017338	3.47	78.12096627	1065.7	26.56	68.9
2020-05-13 10:54:13.233	K0017336	3.23	78.29762676	1065.79	23.2	68.1
2020-05-13 12:09:39.783	K0017335	3.54	78.36523173	1065.73	29.03	70.3
2020-05-13 13:07:56.623	K0017334	3.39	78.09614117	1065.7	23.49	75.1
2020-05-14 09:02:56.333	K0017341	3.52	78.1027486	1065.68	23.54	67.5
2020-05-14 09:43:17.503	K0017343	3.51	78.22964667	1065.69	20.98	72
2020-05-14 10:39:32.493	K0017340	3.46	78.09098576	1065.98	26.09	68.5
2020-05-14 12:31:59.470	K0017339	3.45	78.15081295	1065.79	24.29	77.5
2020-05-14 14:17:13.600	K0017342	3.49	78.31228597	1065.72	0	70.5
2020-05-15 07:33:38.053	K0017344	3.25	78.18021371	1065.74	23.94	74.4
2020-05-15 08:07:44.403	K0017346	3.48	78.11973166	1065.74	27.26	71.3
2020-05-15 09:31:16.913	K0017345	3.15	78.49074478	1065.69	25.89	73.7
2020-05-15 10:13:09.627	K0017348	3.57	78.1163991	1065.72	22.13	70.9
2020-05-15 10:55:11.323	K0017347	3.32	78.55528268	1065.7	21.83	77.8
2020-05-26 11:54:44.343	K0018246	3.35	78.20145017	1065.71	22.64	72.3
2020-05-26 12:43:22.820	K0018245	3.46	78.13293995	1065.72	26.84	71.3
2020-05-26 15:29:52.550	K0018248	3.2	77.82670254	1065.75	26.03	70.3
2020-05-27 06:59:01.517	K0018250	3.06	78.19240695	1065.74	25.07	67.6
2020-05-27 07:40:18.810	K0018423	3.18	78.0443629	1065.74	19.89	71.7
2020-06-02 13:02:17.103	K0018421	3.57	77.97642407	1067.51	28.45	89
2020-06-02 14:26:30.263	K0018422	3.1	77.92169182	1065.81	28.33	70.5
2020-06-10 10:11:59.743	K0017682	3.55	77.86008458	1065.69	27.7	64.9
2020-06-10 11:05:25.363	K0017683	3.526	78.26888562	1065.74	29.24	67.6
2020-06-10 12:39:34.463	K0017686	3.56	77.78619209	1065.83	27.7	71.1
2020-06-10 14:22:20.983	K0017684	3.53	78.0515659	1064.26	25.98	72.1
2020-06-10 15:00:20.060	K0017685	3.7	78.05070814	1065.78	31.71	74.5
2020-06-15 09:52:55.540	K0017995	3.6	78.01945207	1065.79	28.82	72.2
2020-06-15 13:06:17.693	K0017992	2.64	77.8435717	1065.78	26.5	61.3
2020-06-16 08:47:24.843	K0017996	3.27	77.85040972	1065.84	26.73	68.2
2020-06-16 10:19:53.837	K0017994	2.241	78.37187659	1065.94	20.45	59
2020-06-26 07:38:01.173	K0018000	3.1	9.91E+31	1065.76	24.42	76.7
2020-06-26 08:48:19.600	K0017999	3.39	78.06160436	1067.13	21.67	74.5
2020-06-26 09:52:45.613	K0018001	3.2	78.15897822	1065.76	26.79	76
2020-06-26 10:34:18.153	K0017997	2.53	77.79842027	1065.82	26.46	64.5
2020-06-26 12:35:13.463	K0017998	3.38	77.96560049	1065.77	30.43	70.2
2020-06-29 08:31:36.570	K0018427	3.07	77.99560427	1065.74	27.24	71.8
2020-06-29 10:02:08.770	K0018425	3.63	77.86362742	1065.72	24.27	82.8
2020-06-29 10:59:14.740	K0018426	2.99	77.87352135	1061.13	31.45	82.5
2020-06-29 12:22:27.840	K0018428	3.69	78.0267954	1065.78	21.52	75.4
2020-06-29 13:52:17.547	K0018429	3.3	77.89256496	1065.71	26.48	78.9
2020-07-09 07:32:22.150	K0019720	3.298	78.09546518	1065.7	29.21	77.3
2020-07-09 08:44:22.083	K0019716	0.02348	78.00527946	1065.65	27.65	72.3
2020-07-09 09:58:46.820	K0019718	3.19	78.06973671	1065.68	24.07	73.9
2020-07-09 10:53:52.010	K0019719	3.27	78.04353596	1065.73	25.25	80.6
2020-07-09 12:41:01.197	K0019717	3.26	78.09631721	1065.71	25.74	71.8
2020-08-17 09:50:58.157	K0021331	2.78	78.06526884	1065.94	25.33	75.2
2020-08-17 10:25:01.480	K0021335	3.34	78.20111785	1065.69	26.62	80.9
2020-08-17 10:54:30.230	K0021334	3.19	78.09068008	1065.59	20.06	70.6
2020-08-18 10:21:57.527	K0021332	3.58	78.00749123	1065.69	31.67	77.3
2020-08-18 11:22:31.360	K0021333	3.51	78.01791405	1065.65	32.91	74.1
2020-08-18 12:00:28.393	K0021338	3.44	78.0243707	1065.59	23.26	97.2
2020-08-18 13:17:19.767	K0021339	3.37	77.75367207	1065.61	22.3	70.1
2020-08-18 15:07:37.630	K0021340	3.484	78.07909782	1065.9	30.07	73
2020-08-20 09:17:30.133	K0022250	3.55	77.94251517	1065.74	22.87	70
2020-08-20 10:53:06.650	K0021337	3.09	77.99830769	1065.76	31.62	96.1
2020-08-20 12:00:42.650	K0022251	3.33	77.85542997	1065.72	29.79	76.7
2020-08-24 12:50:04.803	K0022253	3.77	77.99057975	1065.79	22.65	81.3
2020-08-25 06:48:08.547	K0022249	3.31	78.16409655	1065.74	25.64	76.3
2020-09-14 13:00:33.620	K0023238	3.32	78.23219522	1065.7	28.13	70.9
2020-09-14 14:06:20.533	K0023236	3.148	78.13485286	1066.24	22.6	64.9
2020-09-15 07:19:24.997	K0023239	3.36	78.01857204	1065.97	22.72	78.8
2020-09-15 08:41:55.523	K0023237	3.64	78.16580615	1065.58	21.66	68.8
2020-09-15 09:21:08.253	K0023240	3.71	78.07851198	1066.3	24.91	66.7
2020-09-19 09:44:20.537	K0023759	3.2	78.13462681	1066.22	35.25	66.6
2020-09-19 10:23:32.223	K0023758	3.9	78.43679532	1066.31	22.9	71.2
2020-09-19 11:41:32.670	K0023760	3.292	77.97705414	1066.31	31.01	75.5
2020-09-22 08:27:12.673	K0023765	3.49	78.03292805	1066.3	27.53	73.3
2020-09-22 09:11:33.080	K0023766	3.55	77.96736799	1065.67	26.84	75.9
2020-09-22 10:28:35.970	K0023767	3.54	78.08029062	1066.44	25.57	70.2
2020-09-22 11:50:46.673	K0023764	3.14	78.07080347	1066.44	22.72	82.2
2020-09-22 12:31:45.973	K0023763	3.73	78.0869481	1065.67	25.74	75.2
2020-09-22 16:00:32.707	K0022252	3.19	78.08304653	1066.62	20.97	73.9
2020-09-23 09:01:17.800	K0026241	3.21	78.08397483	1065.99	25.41	69.5
2020-09-23 10:21:20.287	K0026140	3.66	78.04996898	1066.29	26.58	71.7
2020-09-23 11:34:28.227	K0026138	4.95	78.11524974	1066.5	22.74	96.8
2020-09-23 12:55:08.953	K0026246	3.53	78.07705888	1066.29	27.86	78.1
2020-09-23 13:29:31.610	K0026245	3.48	78.07228207	1065.27	25.6	81.3
2020-09-23 14:17:19.130	K0026243	3.71	78.06817589	1066.45	25.42	79.8
2020-09-24 13:32:46.670	K0026137	2.74	78.04769625	1066.42	27.25	73.5
2020-09-24 13:50:36.873	K0026139	3.49	78.02366378	1066.34	32.15	73.2
2020-09-24 14:17:39.987	K0026242	3.19	78.02439883	1066.41	28.75	84.2
2020-09-24 15:06:44.000	K0026244	3.86	77.99486661	1065.99	22.95	89.4
2020-09-28 09:24:06.520	K0026132	3.38	78.16138263	1066.54	27.08	96.5
2020-09-28 09:36:09.717	K0026135	3.58	78.23466309	1065.51	23.06	84.3
2020-09-28 10:57:41.590	K0026133	3.36	78.07942668	1065.44	20.72	79.6
2020-09-28 11:33:13.480	K0026136	3.2	78.07550439	1065.98	27.5	77.2
2020-09-28 13:03:44.533	K0026134	3.74	78.07300811	1065.81	23.95	87.8
2020-09-29 10:18:45.560	K0023735	3.2	78.13281349	1065.52	29.67	82.4
2020-09-29 11:17:11.480	K0023734	3.26	78.08444134	1066.66	19.27	77.9
2020-09-29 11:44:49.870	K0023731	2.97	78.07747293	1066.3	20.15	66.6
2020-09-29 14:15:06.637	K0023732	3.14	77.94469492	1066.37	30.25	76
2020-09-29 14:28:17.323	K0023733	3.48	78.0723291	1065.92	24.07	87.2
2020-09-30 12:26:53.863	K0026662	4.82	78.06791518	1065.68	28.21	72.6
2020-09-30 12:58:59.240	K0026663	3.83	77.93519137	1066.08	25.12	77.5
2020-09-30 13:43:46.713	K0026660	3.69	77.94421338	1065.7	25.32	106.9
2020-09-30 14:25:12.373	K0026661	3.572	77.95182279	1065.72	18.08	74.1
2020-10-07 09:41:14.983	K0027490	3.91	77.98502882	1065.76	22.74	78.7
2020-10-07 10:16:53.390	K0027492	3.52	77.89806435	1065.59	35.14	78
2020-10-07 11:49:35.420	K0027493	4.14	77.92679145	1065.79	31.69	75.6
2020-10-07 12:30:06.280	K0027494	3.75	77.92502487	1065.73	27.99	86.7
2020-10-07 13:15:25.473	K0027491	3.75	78.06648082	1065.72	32.31	78
2020-10-11 08:15:36.773	K0027497	4.04	78.22738408	1066.04	29.55	75.5
2020-10-11 09:36:34.977	K0027496	3.232	78.08488046	1065.78	22.25	72.4
2020-10-11 10:05:21.127	K0027495	3.85	78.00523657	1065.77	35.5	82.5
2020-10-11 11:35:43.690	K0027499	-0.00194	78.04455343	1065.76	28.69	96.7
2020-10-11 12:44:58.427	K0027498	3.68	77.98513039	1065.76	22.96	79.9
2020-10-13 12:51:52.200	K0027487	3.91	78.10703787	1065.82	20.48	77.8
2020-10-13 14:53:25.227	K0027489	3.44	78.09334614	1065.94	28.1	76
2020-10-14 09:25:37.813	K0027485	4.17	77.99968927	1065.94	23.17	79.5
2020-10-14 10:57:05.823	K0027486	3.91	78.06911823	1066.52	28.25	76.2
2020-10-14 12:39:52.790	K0027488	0.00378	78.08436749	1065.72	27.74	67.8
2020-10-20 10:11:58.443	K0027502	3.58	78.1047619	1065.56	24.49	74.9
2020-10-20 10:43:11.593	K0027504	3.67	78.07198455	1065.67	23.75	71.1
2020-10-20 11:22:00.720	K0027503	3.8	78.06665269	1065.5	26.23	76.4
2020-10-20 12:23:19.183	K0027501	4.048	78.05214493	1065.75	27.6	72
2020-10-20 13:05:19.443	K0027500	3.72	78.06972673	1065.91	23.15	81.4
2020-10-21 09:24:16.787	K0028393	3.64	78.08266513	1065.73	27.53	73.4
2020-10-21 09:41:53.260	K0028394	4.22	78.09480645	1065.79	22.96	83.6
2020-10-21 10:17:01.027	K0028391	3.75	78.09618835	1065.68	28.14	84.6
2020-10-21 10:59:36.563	K0028392	3.84	78.09150274	1066.04	29.58	83.8
2020-10-21 11:48:16.800	K0028395	3.35	78.08584449	1065.82	32.81	80.1
2020-10-21 12:34:40.103	K0028396	3.358	78.08316138	1065.69	28.22	73.3
2020-10-21 13:45:36.850	K0028398	3.7	78.12873866	1065.7	33.11	82.5
2020-10-21 14:38:35.567	K0028399	3.67	78.0525902	1066.04	27.69	113.7
2020-10-21 15:10:48.843	K0028400	4.06	78.02476653	1065.63	25.2	74.9
2020-10-21 15:39:46.323	K0028397	3.89	78.0983516	1065.65	25.5	91.7
2020-10-27 11:02:04.940	K0028384	3.58	77.97460065	1065.87	26.61	78.9
2020-10-28 06:35:59.697	K0028382	3.69	78.09258638	1065.79	25.41	76.4
2020-10-28 07:13:40.213	K0028385	3.74	78.02862347	1065.67	27.9	79.4
2020-10-28 09:29:02.110	K0028387	3.8	78.1166893	1065.65	24.01	102.7
2020-10-28 09:44:05.843	K0028381	-0.00374	77.98629143	1061.08	31.38	73.5
2020-10-28 10:32:41.320	K0028389	3.93	78.08038761	1065.64	21.88	75
2020-10-28 11:03:11.193	K0028386	3.84	78.11327282	1065.6	24.85	71.4
2020-10-28 12:26:23.940	K0028390	4.07	78.11316404	1065.72	26.66	72.5
2020-10-30 11:28:49.217	K0028749	3.84	78.11060336	1065.63	26.46	76
2020-10-30 12:05:41.503	K0028747	3.67	78.17265674	1065.78	24.32	123.7
2020-10-30 13:09:48.817	K0028746	4.01	78.30894829	1065.68	29.62	77.8
2020-11-01 07:47:02.473	K0028750	3.7	78.09114505	1065.67	23.7	75.7
2020-11-01 09:02:52.790	K0028748	3.85	78.21567561	1057.54	30.98	80.8
2020-11-05 10:41:13.957	K0028764	3.64	77.95353723	1065.74	25.12	70.9
2020-11-05 12:12:31.540	K0028762	4.08	78.05029659	1065.63	21.76	74.1
2020-11-05 12:56:00.077	K0028761	3.1	78.09492445	1065.73	31.83	76.1
